Date,Open AAPL,Close AAPL,Volume AAPL,Open MSFT,Close MSFT,Volume MSFT,Open GOOG,Close GOOG,Volume GOOG,Open AMZN,Close AMZN,Volume AMZN,Open NVDA,Close NVDA,Volume NVDA,Open BRKB,Close BRKB,Volume BRKB,Open TSLA,Close TSLA,Volume TSLA,Open META,Close META,Volume META,Open JNJ,Close JNJ,Volume JNJ,Open V,Close V,Volume V,Daily Volume
2022-07-07,143.289993,146.350006,66253700,265.119995,268.399994,20859900,97.730003,96.150002,26277800,113.849998,116.330002,57872300,123.470001,125.120003,54747800,277.5,279.279999,3949700,254.5,242.399994,98363500,137.139999,138.610001,27723100,164.289993,163.199997,8657000,179.339996,181.64,8842300,373547100
2022-07-08,145.259995,147.039993,64547800,264.790009,267.660004,19658800,97.220001,99.300003,24840000,114.599998,115.540001,45719700,128.789993,131.669998,58418200,279.790009,280.829987,2983400,250.520004,249.440002,109578500,140.490005,140.279999,34670700,163.850006,165.619995,6236100,185.050003,185.64,7081400,373734600
2022-07-11,145.669998,144.869995,63141600,265.649994,264.51001,19455200,101.040001,102.410004,22580900,114.080002,111.75,53487600,129.110001,132.089996,50713100,279.380005,278.51001,2864400,245.009995,240.809998,86982700,138.240005,138.979996,27979300,165.020004,165.110001,4539400,183.339996,187.669998,6119900,337864100
2022-07-12,145.759995,145.860001,77588800,265.880005,253.669998,35868500,100.690002,102.220001,18475500,112.160004,109.220001,54280300,132.199997,131.300003,64415700,277.570007,277.279999,3033000,239.440002,238.130005,69298400,137.720001,139.070007,36231100,164.789993,161.910004,5890700,186.64,185.589996,5163000,370245000
2022-07-13,142.990005,145.490005,71185600,250.190002,252.720001,29497400,101.5,102.239998,17156200,107.029999,110.400002,61353800,125.050003,120.760002,67247800,275.369995,277.470001,4197400,233.940002,223.070007,83916800,136.759995,133.449997,33214800,161.770004,160.199997,6363500,183.449997,183.830002,5610300,379743600
2022-07-14,144.080002,148.470001,78140700,250.570007,254.080002,25102800,100.650002,99.57,24249900,110.239998,110.629997,51163100,120.370003,116.699997,69869900,273,274.410004,3888500,223.929993,222.960007,67925000,133.550003,133.789993,24024000,160.630005,160.410004,5315600,184.13,182.17,4743800,354423300
2022-07-15,149.779999,150.169998,76259900,255.720001,256.720001,29774100,99.849998,98.709999,16529900,112.5,113.550003,84317800,115.610001,115.860001,66748200,277.529999,278.480011,4547400,220.949997,216.5,77013200,131.619995,128.539993,38481400,160.369995,162.729996,6212200,180.369995,179.139999,6294500,406178600
2022-07-18,150.740005,147.070007,81420900,259.75,254.25,20975000,98.25,98.050003,21617700,115,113.760002,59115400,115.790001,115,49259000,281.5,276.26001,3273800,215.330002,217.240005,66860700,128.320007,127.5,34605200,162.940002,162.690002,4341700,179.089996,178.24,4884300,346353700
2022-07-19,147.919998,151,82982400,257.579987,259.529999,25012600,98.269997,98.300003,17343400,115.699997,118.209999,60990000,109.709999,119.599998,85010300,279,283.549988,3590200,208.300003,221.720001,91483000,123.529999,130.289993,34325700,160.889999,165.149994,6465100,175,184.660004,8426400,415629100
2022-07-20,151.119995,153.039993,64823400,259.899994,262.269989,22788300,95.93,99.709999,32812200,118.620003,122.769997,71268300,120.57,112.269997,71343200,284.640015,286.040009,3877200,224.009995,204.990005,94124500,131,126.760002,23559400,164.440002,164.460007,5684600,186.78,182.619995,6449400,396730500
